"","AI2_1_D","AI2_1_M","AI2_2_D","AI2_2_M","AI2_3_D","AI2_3_M","AI2_7_D","AI2_7_M","AI2_9_D","AI2_9_M","AI2_12_D","AI2_12_M","AI4_1_D","AI4_1_M","AI4_5_D","AI4_5_M","AI4_6_D","AI4_6_M","AI4_7_D","AI4_7_M","AI4_8_D","AI4_8_M","AI4_9_D","AI4_9_M","AI4_10_D","AI4_10_M","AI6_2_D","AI6_2_M","AI6_4_D","AI6_4_M","AI6_5_D","AI6_5_M","AI6_6_D","AI6_6_M","AI6_10_D","AI6_10_M","AI6_11_D","AI6_11_M","AI6_12_D","AI6_12_M","AI7_1_D","AI7_1_M","AI7_2_D","AI7_2_M","AI7_3_D","AI7_3_M","AI7_4_D","AI7_4_M","AI7_5_D","AI7_5_M","AI7_10_D","AI7_10_M","AI7_11_D","AI7_11_M"
"ASV_276",0.000793785791234337,0.000113264535615404,0.00875997664006229,0.0131461162689583,0.00594676501701118,0.00938967136150235,0.00991162029459902,0.00902061855670103,0.00960443281514545,0.00163187215125767,0.00895522388059702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000558924629013778,0,0.000625312656328164,0,0.000405298994858493,0,0,0,0.000787876755959366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1177",0,0,0,0.000332489321977544,0,0,0.00811783960720131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_482",0,0,0,0.000153456610143482,0,0,0,0,0,0.00112542906983287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1588",0.000340193910529002,0,0.00280875441475013,0,0.00105783800783372,0,0,0,0.00532553486224411,0.000787800348883012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3727",0,0,0.00111237798603966,0,0.000314492380707322,0,0,0,0.00110820378636294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1030",0,0,0.000542284268194332,0,0,0,0,0,0,0,0,0,0.00633161851998417,0,0,0,0,0,0.000561085363527207,0,0.0018185911980186,0,0,0,0.00110041265474553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000792759463566096,0,0.00017892928714572,0,0,0,0,0,0,0,0,0
"ASV_624",0,0,0,0,0,0,0.000445171849427169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132126577261016,0,0.00133839106784999,0,0,0,0,0,0,0,0,0
"ASV_200",0.00124737767193967,7.55096904102693e-05,0.00885730971384076,0.0221744801657331,0.00594676501701118,0.0154897639807097,0.0157905073649755,0.032860824742268,0.0223487763583192,0.022902481571099,0.00597014925373134,0.000360815442900956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_84",0,0,0,0,0,0,0,0,0,0,0,0,0.00883788418414457,0,0,0,0.0138941952573801,0.0101951645790853,0.0192452279689832,0.026832955404384,0.0345532327623534,0.019872833208423,0.0166872682323857,0.00620073062872525,0.022111416781293,0.0525343401076392,0,0,0.000745232838685037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123819066704838,0,0,0,0.00241114373165095,0.0144562762181349,0.00421201829219373,0,0.0013963634918032,0
"ASV_721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117951203748586,0.00151549884108912,0.00120157296824934,0.00318696486483454,0.00377928949357521,0.000978575263695724,0,0,0.00302826379542396,0.00830467675378267,0.00714916860792031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_879",0.00073708680614617,0,0.00468589226619205,0.00171359881326888,0.00211567601566744,0.0027466385615279,0.00104746317512275,0,0.00378636293674003,0.00641494569804738,0,0.000360815442900956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_544",0,0,0.00301732528713257,0.000971891864242052,0.00151528147068073,0.00297020216537319,0,0,0.00369401262120979,0.00185695796522424,0,0,0.00633161851998417,0,0,8.07884957182097e-05,0,0,0.00103239706889006,0,0.000458977778547552,0,0,0,0.00245873452544704,0.00080327737167644,0,0,0.000698655786267222,0,0,0,0.000289499282041781,0.000398501633856699,0,0,0.000243068360881081,0,0.00121580547112462,0,0,0,0,0,0.00111651875178929,0,0,0.00049553246511916,0,0,0.000160457839702618,0,0,0
"ASV_108",0,0,0.00211351817347535,0,0.000886296709266089,0,0,0,0.000523318454671387,0.000675257441899724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30432293157744e-05,0,0,0,0,0,0,0,0,0
"ASV_2061",0,0,0.000347618120637393,0.00127880508452902,0.000628984761414644,0,0.000916530278232406,0,0.000861936278282284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061581410624846,0,0,0,0,0,0,0,0,0,0.000544808395078285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1039",0,2.51698968034231e-05,0.00572874662810423,0.002864523389345,0.00300197272493353,0.000383251892306218,0.00133551554828151,0.00257731958762887,0.00141603817146375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_425",0.00226795940352668,0.000125849484017116,0.00927445145860563,0.00575462288038057,0.00869142579409326,0.00581265369997764,0.00273649754500818,0.00708762886597938,0.00788056025858088,0.00725901750042204,0,0.000180407721450478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_876",0,0,0.0058399844267082,0.00342719762653776,0.00017154129856763,0,0.000157119476268412,0,0.00123133754040326,0.0193011085476338,0.00398009950248756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189934290817687,0.00026187912823348,0,0,0.00338534211279702,0.00170362548398451,0,0.000170339284884711,0,0,0,0,0.00807008651490531,0.0118389346122953
"ASV_303",0.00153087259738051,0,0.00606246002391613,0.00388756745696821,0.00365954770277611,0.00306601513844975,0.00180687397708674,0,0.0100354009542866,0.00467053063980643,0.0139303482587065,0,0,0,0,0,0,0,0.000886514874372987,0,0,0,0,0,0,0,0.000738976927498153,0.000472589792060492,0.00240337590475924,0.000371591806400669,0,0,0.000521098707675205,0.000584469062989825,0,0,0.00174338686425051,0.000685680701353403,0,0.000287200433991767,0.000121234653713417,0,0,0,0.000443744632121386,0,0,0,0,0,0,0,0,0
"ASV_62",0,0,0,0,0,0.000542940180767143,0.00111292962356792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021303496891075,0,0,0,0.00125515818431912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347372991749891,0,0,0.000349172170977973,0,0,0.00071571714858288,0,0,0,0.0341058154787932,0.0587501344519738,0,0,0,0
"ASV_89",0,0,0.0255151700547846,0.0426097854165068,0.0292763816222089,0.0335664782344863,0.0239083469721768,0,0.0485762659689087,0.0526700804681785,0.0159203980099502,0.00862950267604787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121234653713417,0,0,0,0,7.03977472720873e-05,0,0,0.000137422699731401,0,0,0,0,0
"ASV_199",0,0,0,0.000281337118596384,0,0,0,0,0,0,0,0,0,0,0,0,0.000496676090777107,0,0,0,0,0,0,0,0,0,0.00414648164873963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_379",0,0,0.00342056230707194,0.00526867694825955,0.00400263029991137,0.00951742199227109,0.00187234042553191,0,0.00397106356780052,0.0039952731979067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000606173268567087,0.000302615881514243,0,0,0.0013169195533925,0.000211193241816262,0.0834528731752595,0.0651470337736346,0.000749578362171279,0,0.000140400609739791,0,0,0.000593692886162299
"ASV_1751",0,0,0.000750855140576768,0.00135553338960076,0.000771935843554336,0.000766503784612437,0.0004189852700491,0.00322164948453608,0.000892719716792366,0.0018006865117326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199887563245674,0,0,0,0,0
"ASV_1410",0.000396892895617168,0,0.00137656775772407,0.00125322898283844,0.00363095748634817,0.00166075819999361,0.000157119476268412,0,0.00181622287209481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000465216146578872,0,0,0.000356163959304396,0,0,4.01144599256545e-05,0,0,0
"ASV_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000779396227722258,0,0,0,0,0,0.0389605057886526,0.111321151018694,0.0204380106009371,0.0231780389242417,0.0120685342671336,0.0220564704723925,0.0590346935939599,0.104779362928721,0.0131279677586688,0,0.105944278673685,0.10079506309895,0.0451584889274859,0.0562593739030539,0,0,0.0147321133646033,0.00746829289849308,0.00689235614085314,0.0121506511791623,0,0.00207504219768648,0.0040477231557249,0.0042379262127568,0,0,0.0125921177517057,0.00827677729532147
"ASV_2",0.237171854623802,0.341819783538887,0.00171028115353597,0.00214839254200875,0.0241587328816079,0.0114975567691865,0.0025531914893617,0.0161082474226804,0.000985070032322611,0.00804681784930505,0.00796019900497512,0.004149377593361,0.55203798971112,0.422420796100731,0.174345847554039,0.20106640814348,0.424785410458216,0.475167491989514,0.532997430229035,0.351473922902494,0.377323033756517,0.26040180837947,0.446075401730532,0.184291482407229,0.252372764786795,0.0332556831874046,0.279661712784301,0.109168241965974,0.439352020046763,0.431557434158577,0.19672336168084,0.111685498362996,0.353513363286859,0.139236470869531,0.469534336219624,0.383234797297297,0.135841687062058,0.278761856562128,0.507859313938341,0.477071832019657,0.128039958941864,0.080618034742631,0.653332892911409,0.105042202483539,0.287632407672488,0.192242168250616,0.111593958315754,0.110209517320408,0.0655381347991755,0.211423039690223,0.324358837215522,0.321043454320195,0.0866441062031336,0.0894380871448029
"ASV_1590",0,0,0,0,0,0,0,0,0,0.00371391593044848,0,0,0.00197863078749505,0,0,0,0.000140088128167902,0,0,0,0,0,0,0,0,0,0,0,0.000149046567737007,0,0,0,0.00018527954050674,0,0,0,0.000108961679015657,0,0.000694745983499783,0,0,0,0,0,0.00198253650157458,0,0,0,0,0,0.000100286149814136,0,0,0
"ASV_195",0,0,0,0,0,0,0.00671685761047463,0,0,0,0,0.00096217451440255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128552664673169,0.00132379581030238,0.0293896948474237,0.00768037811092238,0,0,0,0,0.000813021758809133,0.000326514619692097,0,0,0.000404115512378058,0.00030843541769721,0.00102398097377287,0,0.00877469224162611,0.00190073917634636,0,0.000433590906979265,0.000924479980011244,0.00174249757986447,0,0,0,0
"ASV_157",0.00289164823949651,0,0.0132929169331739,0.0237601984705491,0.0335077336535438,0.0359618025614001,0.0092176759410802,0,0.00643373864860705,0.00725901750042204,0,0.000751698839376992,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398226455374004,0,0.00443413539017597,0.00225277532630405,0,0,0.00192227523275742,0.00281607821258734,0,0,0.00803801924430885,0.00447325028978173,0.00225792444637429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_488",0.000453591880705335,0,0.00698017186239884,0.00585692728714289,0.00340223575492466,0.00198013477691546,0.00576104746317512,0,0.0143758657842081,0.00911597546564628,0.0149253731343284,0.00246557219315653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205271368749487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059404523332379,0,0,0,0,0,0,0,0,0
"ASV_1849",0,0,0.000848188214355238,0.00079285915240799,0,0,0.000733224222585925,0,0.00153917192550408,0.00106915761634123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000533705558748666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_253",0,0,0,0,0,0,0,0,0,0,0,0,0.0106846062524733,0,0,0.00134108902892228,0.00412623213876366,0.000291290416545296,0.0105932916633937,0.00736961451247166,0.00578485200131631,0.0016439813359766,0.0142150803461063,0.00533551240146126,0.0439305364511692,0.00345409269820869,0.00197060513999507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279462314506889,0.107250685122393,0,0,0,0,0.0199513187821715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1728",0,0,0,0,0,0,0,0,0,0,0,0,0.00804643186914655,0,0,0,0.000356587962609205,0,0.001526152188794,0.000566893424036281,0.0003030985330031,0.000265938157290332,0,0,0.00128954607977992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1574",0,0,0,0.000255761016905803,0,0,6.54664484451719e-05,0,0,0,0,0,0,0.00406173842404549,0,0,0,0,0.000157103901787618,0,0.00122971404818401,0.000314290549524938,0,0,0.00046423658872077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_244",0,0,0.00297561111265608,0.00358065423668124,0.00263029991137033,0,0.00246153846153846,0,0.00252424195782669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
