"","GH2_1_D","GH2_1_M","GH2_2_D","GH2_2_M","GH2_3_D","GH2_3_M","GH2_10_D","GH2_10_M","GH2_11_D","GH2_11_M","GH3_2_D","GH3_2_M","GH3_3_D","GH3_3_M","GH3_6_D","GH3_6_M","GH3_7_D","GH3_7_M","GH3_9_D","GH3_9_M","GH3_10_D","GH3_10_M","GH4_2_D","GH4_2_M","GH4_3_D","GH4_3_M","GH4_4_D","GH4_4_M","GH4_5_D","GH4_5_M","GH4_6_D","GH4_6_M","GH4_7_D","GH4_7_M","GH4_10_D","GH4_10_M","GH4_11_D","GH4_11_M","GH4_12_D","GH4_12_M","GH5_2_D","GH5_2_M","GH5_3_D","GH5_3_M","GH5_4_D","GH5_4_M","GH5_6_D","GH5_6_M","GH5_7_D","GH5_7_M","GH5_10_D","GH5_10_M"
"ASV_1194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118756383155595,0,0,0,0,0,0,0,0,7.55058894593778e-05,4.6791131075327e-05,0.00102053833397117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1940",0,3.1205629495561e-05,0,0,0,0,0.000435059067634952,0,9.80312066007679e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111039682075858,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_410",0,0,0,0,0,0,0,0,0,0,5.25720894776963e-05,0,0.00704225352112676,0.0056792018419033,0.000861128652620702,0.000820504805813863,0,0.00111462010031581,0,0,0.00290912559315163,0,0.00220888355342137,0.000229318351201055,0.000570030639146854,0.00332728372655777,0.000720594146168358,0.000431633327488299,0.000284674048214794,0.000264613267709243,0.00198641548122517,0,0.000275955556631406,0,0.000882347043134738,0.00178594208444955,0.000397584673110852,0,0.00103150020454678,0.00138041916021794,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1741",0,0,0,0,0,0,0.000287808306281584,0,0,0,0,0,0.00269262634631317,0.00138142747505756,0.000424823468626213,0,0,0,0,0,4.76905834942891e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142288569349416,0.000226929905356881,0,0
"ASV_387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174777244688143,0.000326835011457796,0.000120898680189408,0.000208840256630678,0,0.000429784033523155,0,0.000792750600661032,0.0129483534233044,0.00119027888686324,0.00352825146347671
"ASV_998",0,0,0,0,0,0,0,0,0,0,0.000100763171498918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243317340644277,0,0,0.00182128130782568,0,0,0,0,0,0,0
"ASV_59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29215745494815e-05,0.000421120179677943,0,0,0,0,0,0.026377113391839,0,0.0014447593120123,0.00184034657621654,0.000874215027756327,0.00670859538784067,0.00109925531651115,0,0.114156086495189,0.0627527932401586,0.00485151647556915,0.00129167727157037
"ASV_159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150419344740811,0.00674115307089557,0,7.31738355815729e-05
"ASV_1272",0,0,0,0,0,0,0,0,0,8.2373453781628e-05,2.19050372823735e-05,0,0.00124275062137531,0,0.00011481715368276,0,0,0.000371540033438603,0,0,0,0,0,0,0.000593781915777973,0,0.00011949551167616,0,0,0,0,0,0,0,0,0,0.000198792336555426,0,0,0.000316684395579411,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159251392157988,0.0102758459013831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
