"","Fish_ID","Sample.type","Location","Plate","Sample_or_Control","Pair","Origin","Species","SampleID","Salinity","Temperature","Diet","Plant","Invertebrates","High_plant","Sex","Lenght","Weight","Fultons","Habitat_type","Distance_ocean","Cooccurence","is.neg"
"GH4_10_D","GH4_10","Digesta","GH4",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH4_10_D",0.79,30.1,"Yes",86,14,"High","Male",29.7,278,1.1,"Ditch",2.17,"No",FALSE
"GH4_10_M","GH4_10","Mucus","GH4",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH4_10_M",0.79,30.1,"Yes",86,14,"High","Male",29.7,278,1.1,"Ditch",2.17,"No",FALSE
"GH4_11_D","GH4_11","Digesta","GH4",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH4_11_D",0.79,30.1,"Yes",95.5,4.5,"High","Male",28.6,235,1,"Ditch",2.17,"No",FALSE
"GH4_11_M","GH4_11","Mucus","GH4",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH4_11_M",0.79,30.1,"Yes",95.5,4.5,"High","Male",28.6,235,1,"Ditch",2.17,"No",FALSE
"GH4_12_D","GH4_12","Digesta","GH4",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH4_12_D",0.79,30.1,"Yes",96.5,3.5,"High","Male",30.2,272,1,"Ditch",2.17,"No",FALSE
"GH4_12_M","GH4_12","Mucus","GH4",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH4_12_M",0.79,30.1,"Yes",96.5,3.5,"High","Male",30.2,272,1,"Ditch",2.17,"No",FALSE
"GH5_2_D","GH5_2","Digesta","GH5",10,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_2_D",0.81,24,"No",NA,NA,"","Male",25.1,135,0.9,"Stream",0.8,"No",FALSE
"GH5_2_M","GH5_2","Mucus","GH5",10,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_2_M",0.81,24,"No",NA,NA,"","Male",25.1,135,0.9,"Stream",0.8,"No",FALSE
"GH5_3_D","GH5_3","Digesta","GH5",12,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_3_D",0.81,24,"No",NA,NA,"","Female",41.9,702,1,"Stream",0.8,"No",FALSE
"GH5_3_M","GH5_3","Mucus","GH5",12,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_3_M",0.81,24,"No",NA,NA,"","Female",41.9,702,1,"Stream",0.8,"No",FALSE
"GH5_4_D","GH5_4","Digesta","GH5",13,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_4_D",0.81,24,"No",NA,NA,"","Female",24.7,305,2,"Stream",0.8,"No",FALSE
"GH5_4_M","GH5_4","Mucus","GH5",13,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_4_M",0.81,24,"No",NA,NA,"","Female",24.7,305,2,"Stream",0.8,"No",FALSE
"GH5_6_D","GH5_6","Digesta","GH5",14,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_6_D",0.81,24,"No",NA,NA,"","Male",27.8,186,0.9,"Stream",0.8,"No",FALSE
"GH5_6_M","GH5_6","Mucus","GH5",14,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_6_M",0.81,24,"No",NA,NA,"","Male",27.8,186,0.9,"Stream",0.8,"No",FALSE
"GH5_7_D","GH5_7","Digesta","GH5",15,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_7_D",0.81,24,"No",NA,NA,"","Female",42.1,735,1,"Stream",0.8,"No",FALSE
"GH5_7_M","GH5_7","Mucus","GH5",15,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_7_M",0.81,24,"No",NA,NA,"","Female",42.1,735,1,"Stream",0.8,"No",FALSE
"GH5_10_D","GH5_10","Digesta","GH5",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_10_D",0.81,24,"No",NA,NA,"","Female",42.3,962,1.3,"Stream",0.8,"No",FALSE
"GH5_10_M","GH5_10","Mucus","GH5",17,"True Sample","Yes","Wild","Gambusia holbrooki","GH5_10_M",0.81,24,"No",NA,NA,"","Female",42.3,962,1.3,"Stream",0.8,"No",FALSE
