"","Fish_ID","Sample.type","Location","Plate","Sample_or_Control","Pair","Origin","Species","SampleID","Salinity","Temperature","Diet","Plant","Invertebrates","High_plant","Sex","Lenght","Weight","Fultons","Habitat_type","Distance_ocean","Cooccurence","is.neg"
"AI2_1_D","AI2_1","Digesta","AI2",11,"True Sample","Yes","Wild","Aphanius iberus","AI2_1_D",3.66,22.4,"Yes",61.3,38.7,"Low","Female",41.1,922,1.3,"Pond",0.16,"No",FALSE
"AI2_1_M","AI2_1","Mucus","AI2",11,"True Sample","Yes","Wild","Aphanius iberus","AI2_1_M",3.66,22.4,"Yes",61.3,38.7,"Low","Female",41.1,922,1.3,"Pond",0.16,"No",FALSE
"AI2_2_D","AI2_2","Digesta","AI2",1,"True Sample","Yes","Wild","Aphanius iberus","AI2_2_D",3.66,22.4,"No",NA,NA,"","Female",39.5,837,1.4,"Pond",0.16,"No",FALSE
"AI2_2_M","AI2_2","Mucus","AI2",1,"True Sample","Yes","Wild","Aphanius iberus","AI2_2_M",3.66,22.4,"No",NA,NA,"","Female",39.5,837,1.4,"Pond",0.16,"No",FALSE
"AI2_3_D","AI2_3","Digesta","AI2",5,"True Sample","Yes","Wild","Aphanius iberus","AI2_3_D",3.66,22.4,"Yes",78.9,21.1,"High","Female",40.7,970,1.4,"Pond",0.16,"No",FALSE
"AI2_3_M","AI2_3","Mucus","AI2",5,"True Sample","Yes","Wild","Aphanius iberus","AI2_3_M",3.66,22.4,"Yes",78.9,21.1,"High","Female",40.7,970,1.4,"Pond",0.16,"No",FALSE
"AI2_7_D","AI2_7","Digesta","AI2",4,"True Sample","Yes","Wild","Aphanius iberus","AI2_7_D",3.66,22.4,"Yes",52.5,47.5,"Low","Male",23.5,181,1.4,"Pond",0.16,"No",FALSE
"AI2_7_M","AI2_7","Mucus","AI2",4,"True Sample","Yes","Wild","Aphanius iberus","AI2_7_M",3.66,22.4,"Yes",52.5,47.5,"Low","Male",23.5,181,1.4,"Pond",0.16,"No",FALSE
"AI2_9_D","AI2_9","Digesta","AI2",6,"True Sample","Yes","Wild","Aphanius iberus","AI2_9_D",3.66,22.4,"Yes",80.5,19.5,"High","Male",22.9,159,1.3,"Pond",0.16,"No",FALSE
"AI2_9_M","AI2_9","Mucus","AI2",6,"True Sample","Yes","Wild","Aphanius iberus","AI2_9_M",3.66,22.4,"Yes",80.5,19.5,"High","Male",22.9,159,1.3,"Pond",0.16,"No",FALSE
"AI2_10_D","AI2_10","Digesta","AI2",6,"True Sample","Yes","Wild","Aphanius iberus","AI2_10_D",3.66,22.4,"Yes",80.2,19.8,"High","Male",22.6,150,1.3,"Pond",0.16,"No",FALSE
"AI2_10_M","AI2_10","Mucus","AI2",6,"True Sample","Yes","Wild","Aphanius iberus","AI2_10_M",3.66,22.4,"Yes",80.2,19.8,"High","Male",22.6,150,1.3,"Pond",0.16,"No",FALSE
