"","Fish_ID","Sample.type","Location","Plate","Sample_or_Control","Pair","Origin","Species","SampleID","Salinity","Temperature","Diet","Plant","Invertebrates","High_plant","Sex","Lenght","Weight","Fultons","Habitat_type","Distance_ocean","Cooccurence","is.neg"
"AI4_10_D","AI4_10","Digesta","AI4",19,"True Sample","Yes","Wild","Aphanius iberus","AI4_10_D",3.37,23.3,"No",NA,NA,"","Female",31.3,483,1.6,"Ditch",48.6,"No",FALSE
"AI4_10_M","AI4_10","Mucus","AI4",19,"True Sample","Yes","Wild","Aphanius iberus","AI4_10_M",3.37,23.3,"No",NA,NA,"","Female",31.3,483,1.6,"Ditch",48.6,"No",FALSE
"AI6_2_D","AI6_2","Digesta","AI6",18,"True Sample","Yes","Wild","Aphanius iberus","AI6_2_D",1.97,21.8,"No",NA,NA,"","Male",29.6,394,1.5,"Stream",45,"No",FALSE
"AI6_2_M","AI6_2","Mucus","AI6",18,"True Sample","Yes","Wild","Aphanius iberus","AI6_2_M",1.97,21.8,"No",NA,NA,"","Male",29.6,394,1.5,"Stream",45,"No",FALSE
"AI6_4_D","AI6_4","Digesta","AI6",18,"True Sample","Yes","Wild","Aphanius iberus","AI6_4_D",1.97,21.8,"Yes",78.8,21.2,"High","Female",33.5,562,1.5,"Stream",45,"No",FALSE
"AI6_4_M","AI6_4","Mucus","AI6",18,"True Sample","Yes","Wild","Aphanius iberus","AI6_4_M",1.97,21.8,"Yes",78.8,21.2,"High","Female",33.5,562,1.5,"Stream",45,"No",FALSE
"AI6_5_D","AI6_5","Digesta","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_5_D",1.97,21.8,"Yes",74.1,25.9,"High","Female",40.9,1150,1.7,"Stream",45,"No",FALSE
"AI6_5_M","AI6_5","Mucus","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_5_M",1.97,21.8,"Yes",74.1,25.9,"High","Female",40.9,1150,1.7,"Stream",45,"No",FALSE
"AI6_6_D","AI6_6","Digesta","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_6_D",1.97,21.8,"Yes",51.4,48.6,"Low","Male",33.8,620,1.6,"Stream",45,"No",FALSE
"AI6_6_M","AI6_6","Mucus","AI6",19,"True Sample","Yes","Wild","Aphanius iberus","AI6_6_M",1.97,21.8,"Yes",51.4,48.6,"Low","Male",33.8,620,1.6,"Stream",45,"No",FALSE
